prof,Gender,Age,Tenure,Evaluation,Students,Beauty,CourseLevel
Prof8,Male,50,Yes,4.93,73,3.35,Lower
Prof47,Female,57,Yes,4.11,88,3.94,Upper
Prof35,Female,29,No,4.92,89,2.82,Upper
Prof78,Male,47,No,3.31,65,4.74,Lower
Prof81,Female,29,No,3.88,52,4.37,Upper
Prof36,Male,41,Yes,3.39,55,4.16,Lower
Prof50,Male,31,Yes,3.75,75,2.74,Upper
Prof4,Male,37,No,4.83,43,4.32,Upper
Prof2,Male,42,No,4.3,59,2.92,Lower
Prof6,Female,56,No,3.2,58,4.66,Lower
Prof54,Female,43,Yes,3.12,52,4.73,Lower
Prof4,Female,59,No,4.98,78,4.44,Upper
Prof54,Male,29,Yes,3.57,42,3.72,Lower
Prof93,Female,54,Yes,4.28,48,4.13,Lower
Prof63,Male,42,Yes,3.67,91,4.69,Upper
Prof18,Male,50,No,3.61,83,4.01,Upper
Prof90,Female,57,No,3.48,68,3.32,Lower
Prof44,Female,48,No,4.04,75,2.55,Lower
Prof34,Male,30,Yes,3.86,73,4.67,Lower
Prof74,Female,59,No,4.26,66,3.92,Upper
Prof62,Male,35,Yes,4.95,30,3.5,Lower
Prof100,Male,33,No,4.31,94,4.11,Lower
Prof14,Male,46,No,3.15,90,3.99,Lower
Prof95,Female,55,No,3.78,84,4.24,Upper
Prof48,Male,34,Yes,4.2,65,4.67,Upper
Prof15,Male,55,No,4.51,40,4.14,Lower
Prof72,Male,55,No,3.75,57,4.81,Lower
Prof78,Male,45,Yes,4.82,55,4.18,Lower
Prof87,Male,32,Yes,3.83,60,4.91,Upper
Prof62,Male,47,Yes,4.51,85,3.64,Upper
Prof40,Female,33,Yes,3.09,72,4.56,Lower
Prof85,Female,51,Yes,4.72,51,4.23,Upper
Prof80,Male,42,No,3.08,38,3.33,Upper
Prof82,Male,38,No,4.92,38,4.53,Lower
Prof53,Male,46,No,4.15,68,4.73,Upper
Prof24,Male,55,No,4.13,81,2.5,Lower
Prof26,Male,42,No,3.42,92,4.08,Lower
Prof89,Female,41,Yes,4.69,30,3.65,Upper
Prof60,Male,39,No,3.46,64,4.1,Upper
Prof41,Male,53,Yes,3.37,67,4.79,Upper
Prof29,Male,28,Yes,3.85,30,3.17,Lower
Prof15,Male,50,No,3.76,46,4.35,Upper
Prof45,Female,57,No,4.79,60,4.58,Lower
Prof65,Female,29,No,4.44,80,2.71,Upper
Prof89,Female,31,Yes,4.63,97,4.35,Lower
Prof71,Female,28,No,4.26,80,3.06,Lower
Prof9,Female,50,No,4.91,89,2.69,Upper
Prof88,Male,34,No,4.97,44,3.36,Upper
Prof1,Male,53,No,4.35,40,4.62,Upper
Prof8,Female,59,No,4.45,54,3.53,Lower
Prof88,Female,42,No,3.71,85,3.32,Lower
Prof63,Female,57,Yes,4.3,70,2.9,Lower
Prof11,Female,55,No,3.79,52,2.66,Lower
Prof81,Female,46,No,4.17,30,4.85,Lower
Prof8,Male,33,Yes,3.21,38,3.72,Lower
Prof35,Female,46,Yes,4.76,97,4.2,Upper
